Date,Title,Company,URL,Deadline,Location,Experience,Requirement,Job Type
2024-03-27,상품기획/개발(중국어필수)/경영지원/웹디자이너/뷰티상품기획개발/구매개발/해외온라인MD(미국/일본아마존)/온라인MD,에빈코리아(유),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47789654&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,~ 03/31(일),서울 강남구,신입·경력,학력무관,정규직
2024-03-27,㈜데코뷰 디자인 E-커머스팀 온라인MD 상품기획팀 채용,(주)데코뷰,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47785620&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,~ 04/07(일),서울 마포구,경력1년↑,학력무관,정규직
2024-03-27,[패션브랜드] 의류디자이너/온라인MD/기획MD/영업MD(오프라인)/마케터 채용,(주)룩캐스트,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47737207&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,~ 04/07(일),서울 중구,경력,초대졸↑,정규직·계약직
2024-03-27,[EMIS] 이미스 온라인MD 대리급 경력직 채용,(주)이미스,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47679936&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,~ 03/30(토),서울 성동구,경력 5~10년,학력무관,정규직
2024-03-27,온라인MD/CS/디자인 신입/경력 채용,(주)플러스에이블,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47728169&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,~ 03/31(일),서울 영등포구,신입·경력,학력무관,정규직
2024-03-27,온라인MD / 기획MD&오프라인MD 채용 공고,(주)클로브클럽,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47830281&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,~ 04/20(토),서울 강남구,경력,학력무관,정규직·계약직
2024-03-27,온라인MD/패션디자이너/마케팅 부문별 채용,폴프랜즈(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47810385&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,~ 03/31(일),서울 강서구,신입·경력,고졸↑,정규직
2024-03-27,2024년 패션MD 온라인MD 채용,에토스,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47748127&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,채용시,서울 마포구,경력무관,초대졸↑,정규직
2024-03-27,[뮬라웨어] 외부몰 온라인MD (경력직) 채용 / 주4일,(주)뮬라,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47863534&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,~ 04/10(수),서울 영등포구,경력 2~7년,초대졸↑,정규직
2024-03-27,패션브랜드 온라인MD 인턴(신입) 채용,(주)동광인터내셔날,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47624101&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,~ 04/21(일),서울 금천구,신입,학력무관,인턴직
2024-03-27,[SOUP] 패션기업 동광인터내셔날 온라인MD 경력 채용,(주)동광인터내셔날,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47820941&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,채용시,서울 금천구,경력2년↑,학력무관,정규직·파견직 (정규직 전환가능)
2024-03-27,온라인MD 및 영업담당자 [케이미트광주],(주)케이미트,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47823194&location=ts&searchword=%EC%98%A8%EB%9D%BC%EC%9D%B8md&searchType=search&paid_fl=n&search_uuid=e9e8e722-ed9f-4920-a48d-8c27db57c7ed,~ 04/18(목),광주 광산구,신입·경력,고졸↑,정규직
